Testwerte zur Berechnung von Neigungswinkeln aus Wellenlängenpaaren
*******************************************************************

Ordnung m               : 1
Gitterkonstante [µm]    : 0.769231
Minimum Wellenlänge [nm]: 430.0000
Messbereich [grad]      : 5
Einfallswinkel [grad]   : -47.1089

 Sensorneigung  |   Transformationsparameter  |Wellenlänge am |Wellenlänge am
  bx   |   by   |  Theta  |    Phi        t   |diagonalen Stab|vertikalen Stab
[grad] | [grad] |  [grad] |   [grad]     []   |     [nm]      |    [nm]
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-3.000 | -5.000 |   5.823 |  149.077 | -0.999 |    670.15033  |    670.24004  
-3.000 | -4.500 |   5.402 |  146.340 | -0.899 |    663.57317  |    670.24004  
-3.000 | -4.000 |   4.994 |  143.150 | -0.799 |    656.98269  |    670.24004  
-3.000 | -3.500 |   4.605 |  139.408 | -0.699 |    650.37935  |    670.24004  
-3.000 | -3.000 |   4.239 |  135.000 | -0.599 |    643.76359  |    670.24004  
-3.000 | -2.500 |   3.902 |  129.798 | -0.499 |    637.13587  |    670.24004  
-3.000 | -2.000 |   3.604 |  123.677 | -0.399 |    630.49663  |    670.24004  
-3.000 | -1.500 |   3.353 |  116.549 | -0.300 |    623.84636  |    670.24004  
-3.000 | -1.000 |   3.162 |  108.421 | -0.200 |    617.18550  |    670.24004  
-3.000 | -0.500 |   3.041 |   99.454 | -0.100 |    610.51454  |    670.24004  
-3.000 |  0.000 |   3.000 |   90.000 |  0.000 |    603.83395  |    670.24004  
-3.000 |  0.500 |   3.041 |   80.546 |  0.100 |    597.14421  |    670.24004  
-3.000 |  1.000 |   3.162 |   71.579 |  0.200 |    590.44582  |    670.24004  
-3.000 |  1.500 |   3.353 |   63.451 |  0.300 |    583.73925  |    670.24004  
-3.000 |  2.000 |   3.604 |   56.323 |  0.399 |    577.02501  |    670.24004  
-3.000 |  2.500 |   3.902 |   50.202 |  0.499 |    570.30360  |    670.24004  
-3.000 |  3.000 |   4.239 |   45.000 |  0.599 |    563.57552  |    670.24004  
-3.000 |  3.500 |   4.605 |   40.592 |  0.699 |    556.84129  |    670.24004  
